Sample_ID	1,3-Dihydroxyacetone	1,3-Dimethylurate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoisocaproate	3-Hydroxybutyrate	3-Phenylpropionate	Acetate	Acetoacetate	Acetoin	Acetone	Alanine	Arabinose	Arginine	Aspartate	Betaine	Butyrate	Cadaverine	Caprate	Choline	Dimethylamine	Ethanol	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glycerol	Glycine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	L-Malic acid	Lactate	Lactose	Lactulose	Leucine	Lysine	Malonate	Mannose	Methanol	Methionine	Methylamine	Methylsuccinate	N-Acetylaspartate	N-Acetylglutamate	N-Methylhydantoin	N,N-Dimethylglycine	Nicotinate	Oxalacetic acid	Phenylacetate	Phenylalanine	Propionate	Pyruvate	Ribose	Serine	Succinate	Threonine	Trimethylamine	Tyrosine	Uracil	Urocanate	Valerate	Valine	Xanthine	Xylose
A03_00	0.1179	0.0032	0.031	0.1363	0.0233	0.093	0.2858	44.8802	0.0449	0.0923	0.0643	0.8923	0.1126	0.0373	0.554	0.0119	8.5502	0.1291	0.3634	0.0227	0.0127	0.2013	0.0448	0.0229	0.0866	0.0849	1.7845	2.3693	0.6951	1.3829	0.2672	0.6995	0.378	0.0509	0.5519	0.4506	0.0759	0.0268	9e-4	0.4561	0.4469	0.1334	0.0245	0.7178	0.1642	0.0397	0.1415	0.1943	0.0945	0.0263	0.0239	0.1454	1.0396	0.257	0.2189	7.9387	0.0073	0.5689	0.491	0.1334	0.3567	0.0092	0.261	0.074	0.0453	1.7353	0.4917	0.0616	0.1115
A12_07	0.04	0.0047	0.0379	0.1197	0.0246	0.0597	0.0395	44.8002	0.0309	0.0281	0.039	1.5624	0.0599	0.02	1.0421	0.0026	9.0456	0.2099	0.1497	0.0229	0.0193	1.4636	0.0276	0.0432	0.0277	0.3883	3.6334	1.2484	0.4596	0.3161	0.6329	0.4056	0.5347	0.0448	0.2179	0.3799	0.1089	0.1577	0.0973	0.9694	0.381	0.4795	0.2251	0.6064	0.3094	0.1615	0.0261	0.0351	0.1911	0.0599	0.0378	0.0676	0.4742	0.0909	0.4862	20.9424	0.0528	0.5541	0.8927	0.0698	0.481	0.0066	0.567	0.1781	0.0215	0.9633	1.0674	0.0658	0.0893
A20_07	0.0305	0.0084	0.0148	0.0109	0.0124	0.1201	0.2829	44.5585	0.1143	0.0473	0.087	1.2208	0.0264	0.0707	0.8836	0.0041	8.6976	0.0717	0.0996	0.0199	0.0483	0.7873	0.0949	0.0877	0.0744	0.1477	0.2364	3.9044	0.3397	0.8934	0.5218	1.8496	0.5004	0.1306	1.6905	0.4867	0.014	0.0199	0.0141	0.7325	0.3145	0.4795	0.0441	1.3568	0.3135	0.0592	0.2524	0.0521	0.2958	0.0081	0.008	0.1304	0.7746	0.9158	0.2769	11.1984	0.0278	0.5823	0.5069	0.2038	0.5703	0.025	0.3451	0.1608	0.059	2.3494	0.7276	0.1845	0.1393
A01_14	0.0541	0.0066	0.0461	0.3164	0.0669	0.0679	0.135	45.9356	0.0288	0.1955	0.093	2.153	0.0935	0.0169	0.7685	0.0012	10.9739	0.4115	0.5303	0.1459	0.0357	0.5628	0.118	0.0871	0.26	0.1322	2.3513	4.4652	0.4348	1.1337	0.7677	2.1686	1.1228	0.1101	0.7288	1.501	0.0785	0.0677	0.0333	1.2087	0.0343	0.0929	0.1337	0.6993	0.5885	0.0798	0.0429	0.0522	0.1669	0.0124	0.0098	0.1661	0.0544	0.88	0.5186	15.7842	0.0946	0.6872	0.9248	0.2051	0.9409	0.0329	0.5407	0.3444	0.0676	3.0506	1.2103	0.2579	0.1115
A03_14	0.0609	0.0184	0.0312	0.1759	0.0013	0.0474	0.3403	45.4202	0.0668	0.0396	0.0495	1.4004	0.1079	0.0073	0.8231	0.0049	8.2362	0.0283	0.0738	0.0386	0.0213	0.2613	0.0749	0.0121	0.0659	0.2489	1.8111	2.9539	0.49370000000000003	0.8519	0.4849	1.0877	0.6523	0.0632	0.6606	0.4848	0.0216	0.0013	9e-4	0.5537	0.5443	0.0645	0.0245	0.7303	0.2789	0.0574	0.1883	0.0845	0.168	0.0069	0.0076	0.1196	0.0918	0.3035	0.2591	9.2341	0.0156	0.7611	0.6035	0.2907	0.6454	0.0194	0.3151	0.0927	0.0498	1.8257	0.8	0.0855	0.3637
A09_14	0.0221	0.0087	0.103	0.2428	0.0385	0.2783	0.1927	45.7558	0.1183	0.0544	0.1931	2.3286	0.2015	0.02	1.3055	9e-4	16.0433	0.0751	0.3841	0.0385	0.0287	0.5059	0.0278	0.0589	0.036	0.2978	0.9884	2.4219	0.508	2.9531	0.9084	1.4727	0.8631	0.1022	1.18	0.3535	0.081	0.1978	0.0491	0.9909	0.6862	0.1032	0.0245	0.6387	0.4606	0.0404	0.0976	0.1026	0.1146	0.0055	0.0085	0.0524	1.5291	0.5781	0.5565	13.026	0.0499	0.4766	1.1472	0.0659	0.8754	0.0179	0.5484	0.0907	0.0376	1.9662	1.1304	0.0247	0.2238
A20_14	0.0624	0.0114	0.0291	0.271	0.03	0.1062	0.1927	44.6346	0.0821	0.1308	0.0715	1.5611	0.1126	0.02	0.6474	0.0148	9.3011	0.1105	0.0639	0.0203	0.0459	0.6731	0.1247	0.0229	0.1671	0.1322	0.4037	3.8591	0.4056	1.4264	0.6709	1.5705	0.5839	0.1165	1.4563	0.7953	0.1603	0.0839	0.0141	0.6136	0.6675	0.436	0.0245	1.2911	0.3824	0.0797	0.1071	0.0827	0.1975	0.0056	0.0017	0.1549	1.0391	0.7913	0.3202	10.2544	0.0273	0.8123	0.7029	0.339	0.5842	0.0129	0.3672	0.1763	0.0873	1.9928	0.6576	0.1582	0.2026
A06_14	0.0258	0.0043	0.0161	0.0651	0.0122	0.0937	0.1001	45.5876	0.0678	0.0368	0.0369	0.5279	0.4731	0.0038	0.2769	8e-4	12.2181	0.0265	0.0639	0.0129	0.0103	0.3768	0.0215	0.0214	0.0607	0.0227	1.8303	0.9909	0.1249	2.2019	0.1178	0.587	0.2152	0.0698	0.3555	0.2126	0.1051	0.0122	0.0103	0.2731	0.2196	0.053	0.0245	0.6772	0.1189	0.0732	0.0376	0.0204	0.0363	0.0067	0.0064	0.0602	0.3134	0.1639	0.1529	6.4857	0.0072	0.1355	0.2872	0.0816	0.1722	0.0013	0.1662	0.1104	0.0085	1.1861	0.202	0.0939	0.3039
A12_14	0.0433	0.0048	0.051	0.048	0.0131	0.0333	0.0463	45.496	0.0489	0.0196	0.0058	1.8031	0.0909	0.02	1.1098	0.0098	9.0143	0.2099	0.0998	0.0179	0.084	1.1229	0.0467	0.0229	0.0199	0.3703	2.6335	1.6844	0.4596	0.4965	0.9466	0.5124	0.9497	0.0374	0.2357	0.1314	0.0279	0.1005	0.0268	0.7761	1.0311	0.2833	0.0738	1.9364	0.441	0.3341	0.049	0.0129	0.0712	0.0503	0.0518	0.0836	0.0588	0.0634	0.4915	20.4577	0.0401	0.8248	1.639	0.1001	0.8991	0.003	0.4456	0.1662	0.0385	0.5005	1.3986	0.23	0.4891
A15_07	0.0308	0.0016	0.0356	0.1366	0.008	0.0302	0.3173	45.2346	0.0738	0.067	0.0344	0.9962	0.2846	0.02	0.35	0.0026	9.2575	0.1299	0.0639	0.069	0.0087	0.2628	0.0288	0.0229	0.1123	0.1797	2.7332	1.2848	0.6861	0.6495	0.5334	0.7314	0.3997	0.0523	0.383	0.2272	0.0218	0.2822	0.0141	0.4105	0.2144	0.3643	0.0245	0.6898	0.1694	0.0611	0.0996	0.1018	0.0739	0.0046	0.0069	0.0676	0.1049	0.1632	0.2013	13.2157	0.0037	0.7048	1.218	0.1955	0.6104	0.0026	0.2114	0.0798	0.0302	1.1092	0.5081	0.0592	0.6146
A15_14	0.0345	0.0328	0.0309	0.2674	0.0663	0.0332	0.4183	44.6317	0.0902	0.0361	0.0472	2.6001	0.2254	0.02	1.5329	0.0056	8.8893	0.2453	0.0639	0.0379	0.0154	0.3664	0.0622	0.1646	0.2313	0.2499	2.7354	3.208	0.2628	2.382	1.4796	0.7314	1.032	0.0824	0.7081	0.8776	0.0218	0.1218	0.0141	1.2847	0.4214	0.4871	0.1629	0.9686	0.4729	0.0512	0.2346	0.1471	0.1245	0.0111	0.0123	0.0676	1.3935	0.3429	0.5207	13.4556	0.1024	1.2483	1.5372	0.1803	1.3707	0.0049	0.4185	0.1666	0.0751	1.5662	1.5086	0.1619	1.1275
A03_07	0.1812	0.015	0.0683	0.3106	0.1449	0.1407	0.2163	45.3614	0.1568	0.1356	0.1697	2.9964	0.163	0.0996	1.2702	4e-4	6.6708	0.1291	0.3634	0.069	0.0422	0.5226	0.2593	0.0165	0.2787	0.4894	1.7162	8.6231	0.6951	5.8391	1.4542	1.2664	1.334	0.1668	0.969	2.169	0.0766	0.0253	0.0657	1.8753	1.6643	0.0984	0.0245	1.1137	0.6943	0.1892	0.3264	0.2883	0.3786	0.0187	0.0848	0.3021	0.2111	0.2695	0.4491	10.402	0.0146	2.5836	2.1464	0.3729	1.4698	0.0301	0.5338	0.3011	0.2061	2.2705	1.7501	0.2024	0.4997
A03_28	0.1092	0.0211	0.0331	0.1661	0.0219	0.0494	0.2489	44.8802	0.071	0.1114	0.064	1.1712	0.1126	0.0456	0.6753	0.002	7.9344	0.1771	0.0357	0.0381	0.0208	0.2649	0.0675	0.0229	0.1368	0.1627	1.0051	3.8103	0.3953	0.9482	0.3901	0.8283	0.4825	0.1076	0.6416	1.1062	0.0157	0.0014	9e-4	0.5208	0.3645	0.166	0.0245	1.0695	0.2377	0.0785	0.1415	0.1913	0.1828	0.0056	0.0218	0.175	0.0621	0.2694	0.1998	7.6925	0.0363	0.809	0.6401	0.1767	0.5565	0.0147	0.2129	0.0913	0.0632	2.1457	0.6819	0.0879	0.4378
A12_28	0.0513	0.0123	0.0925	0.117	0.0096	0.0399	0.0458	44.9382	0.0309	0.0586	0.0204	1.4326	0.0649	0.0329	0.9853	0.0098	6.8811	0.1396	0.1497	0.0156	0.0039	0.535	0.0705	0.0229	0.0208	0.0863	1.0875	1.952	0.4596	0.2877	0.5897	0.7765	0.6265	0.0709	0.4509	0.1121	0.0441	0.062	0.0501	0.4956	0.6835	0.1457	0.0562	1.0464	0.3539	0.1342	0.0296	0.0139	0.0464	0.0177	0.0115	0.0892	0.1414	0.1719	0.2943	12.8393	0.0331	0.5939	0.5767	0.1151	0.652	0.0039	0.4122	0.1294	0.0332	1.5434	0.8926	0.1992	0.4509
A15_28	0.0073	0.0021	0.0122	0.1294	0.009	0.0332	0.1452	43.9622	0.0317	0.0275	0.03	0.6313	0.0818	0.02	0.2789	0.0056	10.2028	0.1307	0.0639	0.0138	0.0137	0.2818	0.0251	0.0804	0.061	0.1113	2.8391	0.5798	0.2302	0.1783	0.2145	0.6598	0.3842	0.0634	0.4118	0.0785	0.0218	0.0627	0.0141	0.3568	0.1192	0.4685	0.0453	0.6596	0.1681	0.2044	0.0625	0.0481	0.0224	0.0082	0.006	0.0326	0.0827	0.2428	0.1931	17.4592	0.0085	0.3914	0.3841	0.0488	0.2717	9e-4	0.1961	0.0875	0.0239	1.4904	0.3452	0.0962	0.2521
A01_28	0.047	0.0106	0.038	0.3324	0.0228	0.0636	0.2691	45.4555	0.0769	0.0881	0.0702	1.4303	0.062	0.0169	0.5964	6e-4	11.9216	0.2871	0.5303	0.1793	0.0342	0.4188	0.0918	0.0589	0.1563	0.1322	1.5591	3.2631	0.417	0.3262	0.3757	1.6687	0.6664	0.1094	1.2484	1.0622	0.0785	0.0201	0.0559	0.623	0.0923	0.0642	0.0346	1.0938	0.3983	0.0849	0.0913	0.0648	0.2342	0.0072	0.0048	0.1432	2.2029	0.7768	0.2292	13.515	0.0227	0.8165	0.6669	0.2328	0.5198	0.0571	0.3479	0.1729	0.0377	2.6418	0.9339	0.1732	0.0605
A06_28	0.026	0.0046	0.03	0.2996	0.0487	0.2553	0.5041	44.8692	0.2873	0.0398	0.1945	1.8853	0.0355	0.0074	1.2585	4e-4	17.5852	0.0432	0.0639	0.0131	0.0503	0.918	0.1789	0.0229	0.0939	0.0227	0.4111	3.2666	0.432	1.3506	0.6629	2.6613	0.8066	0.1732	2.5037	0.3828	0.0449	0.0206	0.0141	0.626	0.4436	0.0949	0.0245	1.6095	0.5171	0.12	0.1769	0.0872	0.1325	0.0061	0.214	0.0378	2.2395	1.4639	0.5678	13.0619	0.0705	0.2706	1.1584	0.113	0.6623	0.0115	0.5534	0.2132	0.0448	3.5672	0.9987	0.1683	0.0475
A09_28	0.0301	0.007	0.0297	0.1976	0.0214	0.0667	0.1279	46.1497	0.0488	0.0449	0.0881	2.1586	0.0645	0.02	1.4405	0.0054	14.0751	0.1209	0.3841	0.0366	0.0284	0.2822	0.0345	0.038	0.1023	0.131	0.9351	2.7576	0.508	1.3736	0.8424	1.4182	1.0176	0.0758	1.3075	0.303	0.0726	0.0106	0.0141	1.0435	0.6862	0.1459	0.0245	0.8057	0.4722	0.0987	0.0976	0.0537	0.1335	0.0043	0.0119	0.0957	1.227	0.5737	0.4946	12.1762	0.0479	0.4205	1.0173	0.1007	0.8431	0.0226	0.5108	0.1309	0.0779	1.9212	1.1536	0.0721	0.164
A20_28	0.0306	0.0024	0.0192	0.0051	0.0105	0.0525	0.4063	45.5347	0.0171	0.0364	0.028	0.6406	0.0264	0.0707	0.2894	0.0012	10.4993	0.0717	0.1004	0.0145	0.0066	1.7049	0.0559	0.0877	0.0577	0.1076	0.8961	1.1711	0.2925	0.8324	0.2589	0.311	0.195	0.1911	0.1973	0.2007	0.053	0.0734	0.0141	0.2766	0.5796	0.1899	0.0441	1.1704	0.0974	0.1138	0.0484	0.0642	0.0411	0.0065	0.0016	0.0617	0.1325	0.0974	0.1276	6.5355	0.0034	0.3404	0.3154	0.1666	0.2234	0.0053	0.1487	0.0757	0.0103	1.0976	0.272	0.0781	0.2326
